,tweet,directed,original_score,dt2_pred,roberta_pred,final_roberta_pred
1068,@swonderlin Can not wait for #iPad 2 also. They should sale them down at #SXSW.,iPad,2.0,1,2,2
651,Great #sxsw ipad app from @madebymany: http://tinyurl.com/4nqv92l,iPad or iPhone App,2.0,2,2,2
1209,"haha, awesomely rad iPad app by @madebymany http://bit.ly/hTdFim #hollergram #sxsw",iPad or iPhone App,2.0,1,2,2
114,Very smart from @madebymany #hollergram iPad app for #sxsw! http://t.co/A3xvWc6 (may leave my vuvuzela at home now),iPad or iPhone App,2.0,2,2,2
1024,Anyone at  #SXSW who bought the new iPad want to sell their older iPad to me?,,1.0,1,1,1
147,SPIN Play - a new concept in music discovery for your iPad from @mention &amp; spin.com {link} #iTunes #sxsw @mention,,1.0,1,2,2
439,VatorNews - Google And Apple Force Print Media to Evolve? {link} #sxsw,,1.0,1,1,1
933,Khoi Vinh (@mention says Conde Nast's headlong rush into iPad publishing was a &quot;fundamental misunderstanding&quot; of the platform #sxsw,,1.0,1,1,1
817,{link} RT @mention Those at #SXSW check out the Holler Gram ipad app from @mention  {link},,1.0,1,1,1
1084,&quot;via @mention : {link} Guy Kawasaki talks 'Enchanted' at SXSW - HE knows his stuff! #books #internet #Apple #sxsw  &quot;,,1.0,1,2,2
936,"iPad2? RT @mention Droid &amp; Mac here :) RT @mention My #agnerd confession, using laptop, iPad &amp; blackberry to follow #SXSW",,1.0,1,2,2
209,"Nice!! RT @mention Hey, Apple fans! Get a peek at the space that's slated to be a pop-up #SXSW Apple Store tomorrow: {link}",Apple,2.0,2,2,2
281,Thanks to @mention for her mention of our new #Speech iPad apps being showcased at the #SXSW Conf. {link} #sxswh #sxsh,iPad or iPhone App,2.0,1,2,2
950,Wonder if @mention &amp; @mention will be in the apple flashmob: tcrn.ch/fcs45j #SXSW #ipad2,,1.0,1,2,1
1094,Yai!!! RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPhone,2.0,1,2,2
1075,Headline: &quot;#iPad 2 is the Must-Have Gadget at #SXSW&quot; Hmm... I could have seen that one coming! {link} #gadget,iPad,2.0,1,2,2
812,#HP opens &quot;Mobile Park&quot;  &amp; Content Incubator at #SXSW  {link}   #Apple  constructs  &quot;pop-up&quot; store  {link},,1.0,1,1,1
141,"#SXSW and #Apple iPad 2's are great, but thoughts are w/ Japan and APAC regions dealing w/ earthquake &amp; tsunami trauma. #sxswi",iPad,2.0,2,2,2
1256,Christian #iPad #iPhone devs I want to talk to u at #sxsw or after -maybe we can wk together on cool app! @mention me,iPad or iPhone App,2.0,2,2,2
809,The Apple #iPAD2  has taken #SxSW and #Austin by storm.. {link}  @mention excited to a be a part #mobile,iPad,2.0,1,2,2
875,"Stacks of #ipad2's waiting to be bought at #sxsw. I got mine, no hassle at all. Apple handled this perfectly {link}",iPad,2.0,1,2,2
135,"#Samsung, #Sony follow #Apple, #HP lead @mention {link} #Austin #atx #SXSW",,1.0,1,1,1
1222,Headed to #sxsw and want to share/gather contact info? {link} can turn your iphone into a... {link},,1.0,1,1,1
200,BTW - The #sxsw Apple store is sold out of all 3G models (VZW &amp; AT&amp;T).,,1.0,1,1,2
